ASN,Time,GT,CC
17494,8:30-9:30,0,0
17506,8:30-9:30,0,0
17511,8:30-9:30,0,0
17552,8:30-9:30,0,0
17557,8:30-9:30,0,0
17621,8:30-9:30,0,0
17622,8:30-9:30,0,0
17623,8:30-9:30,0,0
17633,8:30-9:30,0,0
17638,8:30-9:30,0,0
17672,8:30-9:30,0,0
17676,8:30-9:30,0,0
17746,8:30-9:30,0,0
17762,8:30-9:30,0,0
17785,8:30-9:30,0,0
17799,8:30-9:30,0,0
17803,8:30-9:30,0,0
17809,8:30-9:30,0,0
17813,8:30-9:30,0,0
17816,8:30-9:30,0,0
17820,8:30-9:30,0,0
17849,8:30-9:30,0,0
17858,8:30-9:30,0,0
17877,8:30-9:30,0,0
17883,8:30-9:30,0,0
17896,8:30-9:30,0,0
17897,8:30-9:30,0,0
17908,8:30-9:30,0,0
17923,8:30-9:30,0,0
17924,8:30-9:30,0,0
17964,8:30-9:30,0,0
17968,8:30-9:30,0,0
17974,8:30-9:30,0,0
18001,8:30-9:30,0,0
18049,8:30-9:30,0,0
18101,8:30-9:30,0,0
18126,8:30-9:30,0,0
18182,8:30-9:30,0,0
18207,8:30-9:30,0,0
18209,8:30-9:30,0,0
18291,8:30-9:30,0,0
18359,8:30-9:30,0,0
18403,8:30-9:30,0,0
18429,8:30-9:30,0,0
18566,8:30-9:30,0,0
18747,8:30-9:30,0,0
18809,8:30-9:30,0,0
18812,8:30-9:30,0,0
18881,8:30-9:30,1,0
19029,8:30-9:30,0,0
19037,8:30-9:30,0,0
19090,8:30-9:30,0,0
19108,8:30-9:30,0,0
19180,8:30-9:30,0,0
19182,8:30-9:30,0,0
19262,8:30-9:30,0,0
19422,8:30-9:30,0,0
19429,8:30-9:30,0,0
19817,8:30-9:30,0,0
19956,8:30-9:30,1,0
19994,8:30-9:30,0,0
20001,8:30-9:30,0,0
20057,8:30-9:30,0,0
20115,8:30-9:30,0,0
20214,8:30-9:30,0,0
20231,8:30-9:30,0,0
20485,8:30-9:30,0,0
20542,8:30-9:30,0,0
20590,8:30-9:30,0,0
20632,8:30-9:30,0,0
20676,8:30-9:30,0,0
20797,8:30-9:30,0,0
20804,8:30-9:30,0,0
20825,8:30-9:30,0,0
20838,8:30-9:30,0,0
20845,8:30-9:30,0,0
20880,8:30-9:30,0,0
20910,8:30-9:30,0,0
20959,8:30-9:30,0,0
20960,8:30-9:30,1,0
20978,8:30-9:30,0,0
21003,8:30-9:30,0,0
21017,8:30-9:30,0,0
21021,8:30-9:30,0,0
21050,8:30-9:30,0,0
21127,8:30-9:30,0,0
21219,8:30-9:30,0,0
21220,8:30-9:30,0,0
21229,8:30-9:30,0,0
21327,8:30-9:30,0,0
21341,8:30-9:30,0,0
21479,8:30-9:30,0,0
21502,8:30-9:30,0,0
21508,8:30-9:30,0,0
21565,8:30-9:30,0,0
21788,8:30-9:30,0,0
21826,8:30-9:30,0,0
21844,8:30-9:30,0,0
21864,8:30-9:30,0,0
21928,8:30-9:30,0,0
22047,8:30-9:30,0,0
22085,8:30-9:30,0,0
22258,8:30-9:30,0,0
22351,8:30-9:30,0,0
22394,8:30-9:30,0,0
22561,8:30-9:30,0,0
22773,8:30-9:30,0,0
22927,8:30-9:30,0,0
22995,8:30-9:30,0,0
23106,8:30-9:30,0,0
23184,8:30-9:30,0,0
23201,8:30-9:30,0,0
23520,8:30-9:30,0,0
23693,8:30-9:30,0,0
23700,8:30-9:30,0,0
23724,8:30-9:30,0,0
23752,8:30-9:30,0,0
23772,8:30-9:30,0,0
23889,8:30-9:30,0,0
23944,8:30-9:30,0,0
23966,8:30-9:30,0,0
24086,8:30-9:30,0,0
24139,8:30-9:30,0,0
24157,8:30-9:30,0,0
24158,8:30-9:30,0,0
24164,8:30-9:30,0,0
24165,8:30-9:30,0,0
24444,8:30-9:30,0,0
24560,8:30-9:30,0,0
24608,8:30-9:30,0,0
24651,8:30-9:30,0,0
24698,8:30-9:30,0,0
24863,8:30-9:30,0,0
24955,8:30-9:30,0,0
25008,8:30-9:30,0,0
25019,8:30-9:30,0,0
25144,8:30-9:30,0,0
25229,8:30-9:30,0,0
25233,8:30-9:30,0,0
25405,8:30-9:30,0,0
25436,8:30-9:30,0,0
25472,8:30-9:30,0,0
25490,8:30-9:30,0,0
25513,8:30-9:30,0,0
25515,8:30-9:30,0,0
25620,8:30-9:30,0,0
